salary,age,comten,ceoten,sales,profits,mktval
879000,63,21,9,1700,212,4900
720000,49,12,12,672,23,1400
950000,63,27,14,2600,6,1500
1143000,67,23,3,1800,56,918
1064000,58,27,3,3500,195,2600
1253000,60,36,5,2600,142,3700
462000,58,23,0,1400,50,769
174000,69,13,13,29,6,390
474000,63,41,4,2200,175,2600
1248000,48,21,7,3500,423,7300
1101000,62,32,3,954,96,1200
348000,43,12,10,586,79,1400
650000,55,28,5,5700,-438,817
875000,58,32,10,5300,308,2200
1600000,61,4,1,12300,877,9400
1500000,55,30,4,7900,665,4800
323000,39,15,3,637,63,517
459000,59,33,3,785,40,1400
925000,56,26,12,3300,67,2200
375000,46,4,4,599,20,501
447000,53,4,1,143,16,527
1340000,55,13,10,1400,131,2900
1749000,57,26,11,8100,40,10000
491000,43,21,2,561,54,521
5299000,64,42,13,2400,119,1500
431000,58,33,3,815,36,550
729000,50,15,3,2000,182,2600
1284000,54,32,3,12300,1300,19600
1373000,57,36,8,14300,1600,23600
989000,40,18,5,439,30,582
515000,52,27,1,1100,51,889
1301000,50,19,15,1800,130,1600
834000,58,35,1,4400,63,890
849000,46,24,24,538,36,473
100000,61,26,26,2700,394,10100
679000,62,40,6,4900,-463,1400
567000,56,31,10,597,65,1700
559000,54,22,2,2100,13,686
704000,52,6,6,50,8,903
308000,45,14,14,210,39,1900
1392000,48,6,6,4800,51,1100
389000,55,29,4,478,38,420
790000,69,45,37,1200,140,3200
396000,80,58,28,513,53,963
398000,54,4,4,633,69,1800
707000,46,6,1,130,26,1200
984000,60,7,4,1500,135,1700
410000,55,36,20,501,34,590
1095000,60,33,5,27600,1400,17100
694000,61,35,19,4200,75,1000
834000,61,32,0,7600,364,5300
1630000,39,8,8,227,27,822
493000,55,4,1,1300,80,834
625000,57,36,9,1400,87,979
483000,52,18,14,1000,35,548
733000,60,8,8,347,18,778
2102000,67,41,20,10300,1700,45400
853000,58,34,34,818,33,411
345000,54,33,0,994,56,781
800000,57,12,9,1800,32,479
764000,55,31,16,1100,145,2100
806000,59,3,3,3000,257,3900
310000,40,18,1,2400,60,1300
1119000,61,34,9,2500,71,1200
1287000,59,4,3,4700,222,2700
1170000,57,9,3,1900,208,5600
880000,62,36,12,5300,229,4000
1091000,33,9,9,181,36,1300
1100000,65,18,6,563,-271,544
650000,53,5,4,1482,40,557
607000,38,7,3,231,38,599
1133000,63,9,9,870,37,686
393000,58,36,6,285,40,956
605000,53,16,4,422,30,505
1444000,59,2,2,6204,401,10700
1033000,62,30,1,5400,478,7300
1142000,50,11,3,2600,166,2200
537000,46,20,20,1200,17,669
693000,42,17,12,1400,206,3000
439000,57,26,12,2600,280,3800
358000,64,43,11,584,45,423
1276000,64,41,17,635,52,1300
873000,41,2,2,149,21,567
537000,57,35,1,11400,210,4800
713000,57,12,2,1600,55,1300
1350000,68,5,5,3300,92,2100
1268000,47,20,4,1100,47,2500
465000,64,31,3,2400,326,2400
693000,46,7,3,2200,44,533
369000,49,4,1,65,-132,1200
381000,54,30,2,2700,386,4500
467000,49,13,0,513,49,534
559000,57,34,16,605,56,653
218000,57,33,5,504,41,421
264000,63,42,3,334,43,480
185000,58,39,1,766,49,560
387000,71,32,13,432,28,477
2220000,63,18,18,277,-80,540
445000,69,23,0,249,31,828
